Theme,Question,Answer
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",Консольные приложения,"Прикладные приложения, непредусматривающие свой собственный графический интерфейс"
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",Примеры консольных приложений,"FTP клиенты, некоторые файловые менеджеры могут работать в консольном режиме,"
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",Desktop приложения,Прикладные приложения работающие в среде операционной системы. Приложение инсталлируется на рабочую станцию пользователя и запускается локально или удаленно.
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",Клиент-серверные приложения,"Приложения реализующие клиент-серверную архитектуру. Обработка данных осуществляется на стороне сервера.
Плюсы: низкие требования к машинам на которых установлен клиент, данные хранятся на сервере."
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",web-приложения,"Клиент-серверное приложение, в котором клиентом выступает браузер, а сервером web-сервер. Логика веб-приложения распределена между сервером и клиентом, хранение данных осуществляется, преимущественно, на сервере, обмен информацией происходит по сети. Может выступать в качестве клиента других служб, например, базы данных или другого веб-приложения, расположенного на другом сервере"
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",клиентская часть,"Реализует пользовательский интерфейс, формирует запросы к серверу и обрабатывает ответы от него"
"Консольные, Desktop и клиент-серверные и web-приложения(как частный случай клиент-сервера)",серверная часть,"Получает запрос от клиента, выполняет вычисления, после этого формирует веб-страницу и отправляет ее клиенту"
Язык XML,XML,"eXtensible Markup Language (расширяемый язык разметки). Спецификация XML описывает XML-документы и частично описывает поведение XML-процессоров (программ, читающих XML-документы и обеспечивающих доступ к их содержимому). XML разрабатывался как язык с простым формальным синтаксисом, удобный для создания и обработки документов программами и одновременно удобный для чтения и создания документов человеком, с подчёркиванием нацеленности на использование в Интернете. Язык называется расширяемым, поскольку он не фиксирует разметку, используемую в документах: разработчик волен создать разметку в соответствии с потребностями к конкретной области, будучи ограниченным лишь синтаксическими правилами языка."
Язык XML,Использование XML,"XML отделяет данные от HTML -можно хранить данные в XML файле и подгружать по необходимости, а не каждый раз править HTML код
XML упрощает распределение данных позволяя использовать их самыми разными приложениями
XML упрощает передачу данных, например между несовместимыми между собой приложениями
XML упрощает модификацию платформы, позволяя производить модернизацию без риска потери данных"
Язык XML,Дерево XML,"XML документы формируют древовидную структуру, которая начинается с ""корневого"" элемента и разветвляется на ""дочерние"" элементы."
Язык XML,Корневой элемент,"XML документ должен содержать корневой элемент. Этот элемент является ""родительским"" для всех других элементов."
Язык XML,Пример,"<корневой>
   <потомок>
      <подпотомок>.....</подпотомок>
   </потомок>
</корневой>"
Язык XML,Правила синтаксиса XML,"Все XML элементы должны иметь закрывающий тег
Теги XML регистрозависимы
XML элементы должны соблюдать корректную вложенность (если элемент открывается внутри другого элемента, то и закрываться он должен внутри него
У XML документа должен быть корневой элемент
Значения XML атрибутов должны заключаться в кавычки
Некоторые символы должны заменяться на их сущности (&lt; <) (&gt; >) (&amp; &) (&apos; ') (&quot; "")
Комментарии должны иметь следующий синтаксис <!-- Это комментарий -->
В XML пробелы сохраняются
В XML новая строка сохраняется как LF
Если все вышееперечисленные правила выполнятся - документ считается синтаксически верным XML документом"
Язык XML,XML элемент,"Составляющая часть xml документа. Включается в себя все от начального тега элемента до конечного тега элемента. Элемент может содержать: другие элементы, текст, атрибуты или набор из всего выше названного"
Язык XML,Пустой XML элемент,"При написании элементов без контента можно использовать альтернативный синтаксис. Вместо того, чтобы писать пустой элемент в виде: <book></book>
Можно написать: <book /> Такой синтаксис элемента называется самозакрывающийся."
Язык XML,Правила написания имен XML,"XML элементы должны следовать следующим правилам написания имен:
Имена могут содержать буквы, числа и другие символы
Имена не могут начинаться с цифры или символа пунктуации
Имена не могут начинаться с сочетания ""xml"" (или XML, или Xml и т.п.)
Имена не могут содержать пробельные символы
В качестве имен можно использовать любые слова. Нет зарезервированных слов."
Язык XML,Расширяемость XML элементов,"XML элементы могут быть расширены, чтобы нести больше информации, при этом это не повлияет на работу уже существующих приложений"
Язык XML,XML атрибуты,"Атрибуты предоставляют дополнительную информацию об элементе. При использовании атрибутов возникают некоторые проблемы:
атрибуты не могут содержать множественные значения (элементы могут)
атрибуты не могут содержать древовидные структуры (элементы могут)
атрибуты сложно расширять (для будущих изменений)
Атрибуты нелегко читать и обслуживать. Используйте элементы для данных, а атрибуты для информации, не относящейся к данным (например, метаданным)"
Язык XML,XML пространства имен,"Стандарт, описывающий именованную группу имён элементов и атрибутов, служащую для обеспечения их уникальности в XML-документе. Декларация пространства имен имеет следующий синтаксис - xmlns:префикс=""URI"". Пространства имен могут декларироваться либо непосредственно в самом элементе, либо в корневом элементе XML документа. URI пространства имен не используется парсером для получения какой-либо информации. Цель всего этого состоит в том, чтобы дать пространству имен уникальное имя. Определение пространства имен по умолчанию позволяет избежать использования префиксов во всех дочерних элементах. Такое определение имеет следующий синтаксис:
xmlns=""URI пространства имен"""
Язык XML,Кодировка в XML документе,"XML документы могут содержать символы в различных международных кодировках. Чтобы не возникало ошибок, необходимо указывать, какая кодировка используется в XML документе, либо сохранять файл в универсальной кодировке UTF-8."
Язык XML,Пролог XML,"Первая строка в XML документе называется прологом. Пролог является необязательным и, как правило, содержит номер версии XML. Кроме этого, он может содержать информацию о кодировке XML документа. Следующий пролог определяет кодировку UTF-8:
<?xml version=""1.0"" encoding=""UTF-8""?>"
